outing_id,number,title,notes,tags,text_overlay,duration,date,pitcher,hitter,inning,Away Score,Home Score,runners_on_base,outs,balls,strikes,pitch_result,pitch_type,velocity_mph,bip_type,bip_result,non_bip_result,na,top_or_bottom_letter,top_of_frame,inning_num,Away Team,Home Team,pitcherteam_score,pa_id,batting_order
18,2559,"Frye, C. VS Cerny, T.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.2,,"Frye, C.","Cerny, T.",B7,3,3, - ,1,0,0,Ball,Fastball,89,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,26,8
18,2560,"Frye, C. VS Cerny, T.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.2,,"Frye, C.","Cerny, T.",B7,3,3, - ,1,1,0,Ball,Fastball,89,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,26,8
18,2561,"Frye, C. VS Cerny, T.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Frye, C.","Cerny, T.",B7,3,3, - ,1,2,0,Ball,Fastball,87,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,26,8
18,2562,"Frye, C. VS Cerny, T.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Frye, C.","Cerny, T.",B7,3,3, - ,1,3,0,Strike Taken,Fastball,88,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,26,8
18,2563,"Frye, C. VS Cerny, T.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.3,,"Frye, C.","Cerny, T.",B7,3,3, - ,1,3,1,Foul,Fastball,89,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,26,8
18,2564,"Frye, C. VS Cerny, T.","Georgetown University vs Indiana University, Bloomington",,,00:00:09.0,,"Frye, C.","Cerny, T.",B7,3,3, - ,1,3,2,BIP,Fastball,89,Line Drive,Single,,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,26,8
18,2565,"Frye, C. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.5,,"Frye, C.","Serruto, P.",B7,3,3,2B,1,0,0,Foul,Fastball,88,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,27,9
18,2566,"Frye, C. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:04.9,,"Frye, C.","Serruto, P.",B7,3,3,2B,1,0,1,Ball,Curveball,77,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,27,9
18,2567,"Frye, C. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.4,,"Frye, C.","Serruto, P.",B7,3,3,2B,1,1,1,Ball,Curveball,75,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,27,9
18,2568,"Frye, C. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.6,,"Frye, C.","Serruto, P.",B7,3,3,2B,1,2,1,Strike Swinging,Fastball,86,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,27,9
18,2569,"Frye, C. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.4,,"Frye, C.","Serruto, P.",B7,3,3,2B,1,2,2,Foul,Fastball,89,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,27,9
18,2570,"Frye, C. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:06.5,,"Frye, C.","Serruto, P.",B7,3,3,2B,1,2,2,Foul,Curveball,76,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,27,9
18,2571,"Frye, C. VS Serruto, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:10.2,,"Frye, C.","Serruto, P.",B7,3,3,2B,1,2,2,BIP,Fastball,89,Line Drive,Single,,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,27,9
18,2572,"Catlett, E. VS Glasser, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.3,,"Catlett, E.","Glasser, P.",B7,3,3,1B-3B,1,0,0,Strike Swinging,Fastball,90,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,28,1
18,2573,"Catlett, E. VS Glasser, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.6,,"Catlett, E.","Glasser, P.",B7,3,3,1B-3B,1,0,1,Strike Swinging,Fastball,92,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,28,1
18,2574,"Catlett, E. VS Glasser, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:05.7,,"Catlett, E.","Glasser, P.",B7,3,3,1B-3B,1,0,2,Ball,Fastball,91,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,28,1
18,2575,"Catlett, E. VS Glasser, P.","Georgetown University vs Indiana University, Bloomington",,,00:00:07.1,,"Catlett, E.","Glasser, P.",B7,3,3,1B-3B,1,1,2,Ball,Fastball,90,"","",,,B,0,7,Georgetown University,"Indiana University, Bloomington",3,28,1
